,BM25,TF-IDF,DirichletLM,MonoT5,RankVicuna,RankZephyr
RBP@10_q1,0.15999999999999998,0.15999999999999998,0.35999999999999993,0.147456,0.15999999999999998,0.16994304000000002
RBP@10_q2,0.05242880000000001,0.05242880000000001,0.03355443200000001,0.04194304000000001,0.05242880000000001,0.026843545600000008
RBP@10_q3,0.30239999999999995,0.30239999999999995,0.19353599999999999,0.18432,0.30239999999999995,0.36793599999999993
RBP@10_q4,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q5,0.065536,0.065536,0.19999999999999996,0.639519232,0.065536,0.1024
RBP@10_q6,0.08598323200000002,0.09237954560000002,0.1448083456,0.09237954560000002,0.08598323200000002,0.12593397760000002
RBP@10_q7,0.35999999999999993,0.35999999999999993,0.23355443199999998,0.0,0.35999999999999993,0.0
RBP@10_q8,0.2124288,0.2124288,0.115474432,0.24191999999999994,0.2124288,0.22684354559999997
RBP@10_q9,0.19353599999999999,0.19353599999999999,0.19353599999999999,0.225536,0.19353599999999999,0.1292435456
RBP@10_q10,0.39676354559999993,0.39676354559999993,0.28191999999999995,0.203497472,0.39676354559999993,0.2624
RBP@10_q11,0.6366995456,0.6046995455999999,0.6046258176,0.6322278400000001,0.6366995456,0.6507058175999999
RBP@10_q12,0.8270898176000001,0.8270898176000001,0.813353472,0.8926258176,0.8270898176000001,0.8926258176
RBP@10_q13,0.7687627775999999,0.7687627775999999,0.7771513856,0.7646258176,0.7687627775999999,0.8926258176
RBP@10_q14,0.3563339776,0.3563339776,0.28191999999999995,0.6107058176,0.3563339776,0.57979904
RBP@10_q15,0.026843545600000008,0.026843545600000008,0.26747904,0.5032267776,0.026843545600000008,0.6092153856
RBP@10_q16,0.7582770176,0.7582770176,0.6663627776,0.6491513856,0.7582770176,0.6801970176
RBP@10_q17,0.6591865856,0.6894904319999999,0.40182784,0.6827467776,0.6591865856,0.373983232
RBP@10_q18,0.655936,0.655936,0.737856,0.865782272,0.655936,0.737856
RBP@10_q19,0.8401970176000001,0.8590713856000001,0.6622258175999999,0.6657822720000001,0.8401970176000001,0.6990898176
RBP@10_q20,0.8107058176,0.8107058176,0.7451698176,0.7246898176000001,0.8107058176,0.7451698176
RBP@10_q21,0.8926258176,0.8926258176,0.8926258176,0.8926258176,0.8926258176,0.8926258176
RBP@10_q22,0.8270898176000001,0.8270898176000001,0.8506827776,0.8926258176,0.8270898176000001,0.8926258176
RBP@10_q23,0.8590713856000001,0.8590713856000001,0.6926258176000001,0.6622258175999999,0.8590713856000001,0.6801970176
RBP@10_q24,0.83222784,0.83222784,0.7982539775999999,0.7083647999999999,0.83222784,0.705874432
RBP@10_q25,0.5967225855999999,0.527936,0.5811065856,0.6018278399999999,0.5967225855999999,0.5377970176
RBP@10_q26,0.52994304,0.521554432,0.62230784,0.6286713855999999,0.52994304,0.83222784
RBP@10_q27,0.3147698176,0.3147698176,0.61186304,0.3883979776,0.3147698176,0.55677184
RBP@10_q28,0.5442425855999999,0.5442425855999999,0.27549747199999997,0.558326272,0.5442425855999999,0.6335353856
RBP@10_q29,0.7482827776,0.7482827776,0.7482827776,0.2623410176,0.7482827776,0.3022995456
RBP@10_q30,0.783862272,0.8107058176,0.69787904,0.7902258176,0.783862272,0.39676354559999993
RBP@10_q31,0.7326258176,0.6590713856,0.5829534719999999,0.5882827775999999,0.7326258176,0.5022258176
RBP@10_q32,0.8506827776,0.8506827776,0.7646258176,0.7326258176,0.8506827776,0.7646258176
RBP@10_q33,0.737782272,0.737782272,0.7902258176,0.8002462720000001,0.737782272,0.8171283455999999
RBP@10_q34,0.7226827776,0.6702539775999999,0.6747513855999999,0.5390898176,0.7226827776,0.70422784
RBP@10_q35,0.548383232,0.5752267776,0.61979904,0.813353472,0.548383232,0.7646995455999999
RBP@10_q36,0.7746610176,0.7746610176,0.8002462720000001,0.6270898176,0.7746610176,0.8926258176
RBP@10_q37,0.5647487999999999,0.5647487999999999,0.6302848,0.7083058176,0.5647487999999999,0.550953472
RBP@10_q38,0.8926258176,0.8926258176,0.865782272,0.8926258176,0.8926258176,0.8926258176
RBP@10_q39,0.721439232,0.721439232,0.77979904,0.45714677760000005,0.741919232,0.5116153856
RBP@10_q40,0.6401970176,0.6401970176,0.563382272,0.7121970176,0.6401970176,0.865782272
RBP@10_q41,0.15999999999999998,0.15999999999999998,0.14434304,0.38684354559999995,0.15999999999999998,0.4624
RBP@10_q42,0.6926258176000001,0.6926258176000001,0.8401970176000001,0.6657822720000001,0.6926258176000001,0.7326258176
RBP@10_q43,0.8926258176,0.8926258176,0.8926258176,0.8926258176,0.8926258176,0.8926258176
RBP@10_q44,0.8401970176000001,0.8270898176000001,0.7746610176,0.8926258176,0.8401970176000001,0.865782272
RBP@10_q45,0.19677184,0.19677184,0.4622848,0.5646898176,0.19677184,0.5410104319999999
RBP@10_q46,0.5022848,0.655936,0.34434303999999993,0.55030784,0.5022848,0.67222784
RBP@10_q47,0.6491513856,0.5903999999999999,0.45186304,0.8506827776,0.6491513856,0.865782272
RBP@10_q48,0.5291283455999999,0.521439232,0.77979904,0.7851467776,0.5291283455999999,0.865782272
RBP@10_q49,0.26867138560000003,0.147456,0.0687865856,0.5147283455999999,0.38675138559999994,0.6172435455999999
RBP@10_q50,0.0,0.0,0.04194304000000001,0.46383923200000005,0.0,0.537897472
