,BM25,TF-IDF,Dirichlet LM,MonoT5,RankVicuna,RankZephyr,BM25+KORSCE,BM25+REdORank,Google,Google+KORSCE,Google+REdORank,Bing,Bing+KORSCE,Bing+REdORank
cRBP@10_q1,0.0,0.0,0.0035324408198972603,0.0018086096997873974,0.0,0.0028259526559178084,0.005168091336632061,0.0,0.004415551024871574,0.0,0.0,0.01089048186688761,0.005575926715846458,0.004460741372677168
cRBP@10_q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q5,0.0,0.0,0.00446494295094918,0.011203280262783388,0.0,0.0,0.0037784846288440883,0.0,0.0035719543607593447,0.0028575634886074757,0.0011704580049336224,0.019490227201527783,0.015270774626451397,0.013839700528734985
cRBP@10_q6,0.00920223460299419,0.011502793253742738,0.006803773013045909,0.011502793253742738,0.00920223460299419,0.01269320315896219,0.0,0.0,0.05551669468206798,0.04441335574565438,0.02401812693905538,0.0,0.0,0.0
cRBP@10_q7,0.0003105150129709042,0.0003105150129709042,6.511971804819578e-05,0.0,0.0003105150129709042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q8,0.014494935198004955,0.014494935198004955,0.00747920659660954,0.0013780540282965156,0.014494935198004955,0.017785417168439944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q9,0.0,0.0,0.0,0.02207891394244265,0.0,0.0141305049231633,0.0,0.0,0.0,0.0,0.0,0.023159362561414307,0.020477201634573738,0.022561021953552175
cRBP@10_q10,0.008834005476885254,0.008834005476885254,0.024130951424109814,0.018348290934711305,0.008834005476885254,0.035991902914768274,0.0,0.0,0.010254220961231731,0.025034719143632145,0.006562701415188307,0.0328083722191257,0.024201802270625357,0.0
cRBP@10_q11,0.015237136295871785,0.015237136295871785,0.008568833132143886,0.01854988541526206,0.015237136295871785,0.015596264950084678,0.0,0.0,0.027737448660084863,0.04229529863683434,0.030593018449710907,0.04256547224319391,0.02417535178173575,0.021945913367481418
cRBP@10_q12,0.31643475052062275,0.31643475052062275,0.3112170341361423,0.3478284569636196,0.31643475052062275,0.3591353753464818,0.19763572353830583,0.016510126745903738,0.22150558082524582,0.22454604605766332,0.2218809586995112,0.34090416461203166,0.3058833401486116,0.26486245783695506
cRBP@10_q13,0.18628104807830856,0.18413252633020302,0.1954215954505557,0.29857991453467847,0.18628104807830856,0.2623326552951025,0.1869124116756022,0.018437348582059074,0.06403330702237874,0.06888645902641469,0.08715047463155028,0.27061058369810326,0.2534857617332852,0.16847809881241763
cRBP@10_q14,0.04164088955930353,0.04164088955930353,0.035467150269467396,0.04619117860572382,0.04164088955930353,0.02935253364570432,0.047074689561751426,0.0015204238880251056,0.04594986128631342,0.05261112899659355,0.031058569656763572,0.040557400581245906,0.040212833205354785,0.010779291201880889
cRBP@10_q15,0.0032214618608008604,0.0032214618608008604,0.022088694337194237,0.011927389064480749,0.0032214618608008604,0.018073513051243537,0.028507474315415993,0.0,0.0258977717532587,0.04728387195242549,0.037827097561940394,0.03385889009476538,0.07193121120826615,0.04019331553138861
cRBP@10_q16,0.10076244332322433,0.10076244332322433,0.09650395613589992,0.06749309503375865,0.10076244332322433,0.18146254528847724,0.04180539471472524,0.01485791450986417,0.1464263050901633,0.12323060654478313,0.1284149164083776,0.0,0.0,0.0
cRBP@10_q17,0.06431244037099665,0.05987820244912476,0.08101399088901778,0.054952082296587566,0.06431244037099665,0.05354766680042237,0.0,0.0,0.01090880295537027,0.009713546509583493,0.025053487497064923,0.05108739228901985,0.17222984403744832,0.0374491259118529
cRBP@10_q18,0.14625487607943485,0.14625487607943485,0.09063393658726349,0.12254521078658388,0.14625487607943485,0.13950860060211723,0.021885254474691054,0.011471839256588135,0.0624634228539851,0.04373589217062915,0.052142875728570445,0.17855444912929538,0.18934870130254808,0.10413539105497271
