,BM25,TF-IDF,Dirichlet LM,MonoT5,RankVicuna,RankZephyr,BM25+KORSCE,BM25+REdORank
RBP@10_q1,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1024,0.065536
RBP@10_q2,0.065536,0.065536,0.05242880000000001,0.05242880000000001,0.08191999999999999,0.065536,0.0,0.0
RBP@10_q3,0.0,0.0,0.0,0.026843545600000008,0.026843545600000008,0.026843545600000008,0.0,0.0
RBP@10_q4,0.1024,0.1024,0.0,0.128,0.08191999999999999,0.15999999999999998,0.0,0.0
RBP@10_q5,0.128,0.128,0.19999999999999996,0.05242880000000001,0.1024,0.0,0.0,0.0
RBP@10_q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03355443200000001
RBP@10_q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q8,0.24194303999999994,0.24194303999999994,0.24194303999999994,0.30239999999999995,0.19999999999999996,0.19999999999999996,0.1024,0.065536
RBP@10_q9,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.128,0.0
RBP@10_q10,0.15999999999999998,0.15999999999999998,0.19999999999999996,0.15999999999999998,0.08191999999999999,0.065536,0.0,0.065536
RBP@10_q11,0.0,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0
RBP@10_q12,0.25242879999999995,0.25242879999999995,0.32799999999999996,0.19353599999999999,0.14434304,0.167936,0.128,0.08191999999999999
RBP@10_q13,0.128,0.128,0.1024,0.08191999999999999,0.065536,0.08191999999999999,0.0,0.1024
RBP@10_q14,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.128,0.15999999999999998,0.1024,0.0,0.0
RBP@10_q15,0.05242880000000001,0.05242880000000001,0.128,0.19999999999999996,0.04194304000000001,0.0,0.0,0.026843545600000008
RBP@10_q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026843545600000008
RBP@10_q17,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1024,0.065536
RBP@10_q18,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.128,0.0
RBP@10_q19,0.08191999999999999,0.08191999999999999,0.1024,0.0,0.0,0.0,0.0,0.0
RBP@10_q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q21,0.1024,0.1024,0.08191999999999999,0.0,0.0,0.0,0.128,0.19999999999999996
RBP@10_q22,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1024,0.08191999999999999
RBP@10_q23,0.04194304000000001,0.04194304000000001,0.03355443200000001,0.03355443200000001,0.03355443200000001,0.03355443200000001,0.0,0.04194304000000001
RBP@10_q24,0.0,0.0,0.026843545600000008,0.0,0.0,0.0,0.0,0.0
RBP@10_q25,0.026843545600000008,0.026843545600000008,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q26,0.0,0.0,0.0,0.04194304000000001,0.0,0.05242880000000001,0.128,0.0
RBP@10_q27,0.0,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0
RBP@10_q28,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0
RBP@10_q29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q30,0.0,0.0,0.0,0.03355443200000001,0.0,0.04194304000000001,0.0,0.0
RBP@10_q31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128
RBP@10_q32,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.1024
RBP@10_q33,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.1024,0.1024,0.0,0.0
RBP@10_q34,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.19999999999999996
RBP@10_q35,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.0,0.0
RBP@10_q36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q37,0.147456,0.147456,0.09437184000000001,0.07549747200000001,0.12386304000000001,0.17118658560000002,0.15484354560000002,0.35999999999999993
RBP@10_q38,0.03355443200000001,0.03355443200000001,0.03355443200000001,0.19999999999999996,0.1024,0.128,0.0,0.1024
RBP@10_q39,0.0,0.0,0.0,0.19999999999999996,0.08191999999999999,0.15999999999999998,0.03355443200000001,0.19999999999999996
RBP@10_q40,0.0,0.0,0.1024,0.08191999999999999,0.0,0.065536,0.128,0.0
RBP@10_q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q43,0.065536,0.065536,0.1024,0.15999999999999998,0.065536,0.1024,0.10876354560000001,0.15999999999999998
RBP@10_q44,0.026843545600000008,0.026843545600000008,0.026843545600000008,0.065536,0.03355443200000001,0.065536,0.065536,0.0
RBP@10_q45,0.167936,0.167936,0.167936,0.1343488,0.12386304000000001,0.1179648,0.32799999999999996,0.35999999999999993
RBP@10_q46,0.05242880000000001,0.05242880000000001,0.08191999999999999,0.04194304000000001,0.05242880000000001,0.04194304000000001,0.0,0.08191999999999999
RBP@10_q47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q48,0.19999999999999996,0.19999999999999996,0.15999999999999998,0.19999999999999996,0.19999999999999996,0.1024,0.1024,0.03355443200000001
RBP@10_q49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q50,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.1024,0.19999999999999996
RBP@10_q51,0.03355443200000001,0.03355443200000001,0.03355443200000001,0.03355443200000001,0.04194304000000001,0.03355443200000001,0.128,0.1024
RBP@10_q52,0.1024,0.1024,0.15999999999999998,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.19999999999999996,0.065536
RBP@10_q53,0.05242880000000001,0.05242880000000001,0.08191999999999999,0.065536,0.0,0.065536,0.0,0.05242880000000001
RBP@10_q54,0.0,0.0,0.04194304000000001,0.0,0.0,0.08191999999999999,0.0,0.19999999999999996
RBP@10_q55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q56,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.08191999999999999,0.1024,0.08191999999999999,0.128,0.19999999999999996
RBP@10_q57,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.065536,0.065536,0.065536,0.065536,0.15999999999999998
RBP@10_q58,0.0,0.0,0.0,0.0,0.0,0.0,0.1024,0.0
RBP@10_q59,0.0,0.0,0.0,0.0,0.0,0.0,0.08191999999999999,0.128
RBP@10_q60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q61,0.08191999999999999,0.08191999999999999,0.04194304000000001,0.15999999999999998,0.19999999999999996,0.19999999999999996,0.065536,0.0
RBP@10_q62,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1024,0.15999999999999998,0.08191999999999999,0.128,0.026843545600000008
RBP@10_q63,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.0,0.15999999999999998
RBP@10_q64,0.128,0.128,0.05242880000000001,0.08191999999999999,0.065536,0.08191999999999999,0.0,0.0
RBP@10_q65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q67,0.0,0.0,0.0,0.15999999999999998,0.0,0.026843545600000008,0.0,0.15999999999999998
RBP@10_q68,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.128,0.128,0.08191999999999999,0.0,0.03355443200000001
RBP@10_q69,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.19999999999999996,0.1024,0.1024,0.1024,0.03355443200000001
RBP@10_q70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q74,0.065536,0.065536,0.065536,0.065536,0.05242880000000001,0.08191999999999999,0.1024,0.19999999999999996
RBP@10_q75,0.03355443200000001,0.04194304000000001,0.026843545600000008,0.04194304000000001,0.065536,0.04194304000000001,0.0,0.0
RBP@10_q76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP@10_q79,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.08191999999999999,0.04194304000000001,0.08191999999999999,0.0,0.05242880000000001
RBP@10_q80,0.15999999999999998,0.15999999999999998,0.1024,0.19999999999999996,0.15999999999999998,0.15999999999999998,0.026843545600000008,0.19999999999999996
RBP@10_q81,0.1024,0.1024,0.1024,0.15999999999999998,0.08191999999999999,0.08191999999999999,0.128,0.1024
RBP@10_q82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
